paper_id;year;title;abstract;key words;manual_class;gpt_class;trend_stage_numeric;classification_agreement
1;2019;Digital Twin in Industry: State-of-the-Art;"Digital twin (DT) is one of the most promising
enabling technologies for realizing smart manufacturing
and Industry 4.0. DTs are characterized by the seamless
integration between the cyber and physical spaces. The
importance of DTs is increasingly recognized by both
academia and industry. It has been almost 15 years since
the concept of the DT was initially proposed. To date, many
DT applications have been successfully implemented in
different industries, including product design, production,
prognostics and health management, and some other
f
ields. However, at present, no paper has focused on the
review of DT applications in industry. In an effort to under
stand the development and application of DTs in industry,
this paper thoroughly reviews the state-of-the-art of the
DT research concerning the key components of DTs, the
current development of DTs, and the major DT applications
in industry. This paper also outlines the current challenges
and some possible directions for future work.";"Data models; Industries; Computational modeling; Smart manufacturing; Patents; History";Mature;Mature;4;1
2;2018;Industry 4.0: state of the art and future trends;Rapid advances in industrialisation and informatisation methods have spurred tremendous progress in developing the next generation of manufacturing technology. Today, we are on the cusp of the Fourth Industrial Revolution. In 2013, amongst one of 10 ‘Future Projects’ identified by the German government as part of its High-Tech Strategy 2020 Action Plan, the Industry 4.0 project is considered to be a major endeavour for Germany to establish itself as a leader of integrated industry. In 2014, China’s State Council unveiled their ten-year national plan, Made-in-China 2025, which was designed to transform China from the world’s workshop into a world manufacturing power. Made-in-China 2025 is an initiative to comprehensively upgrade China’s industry including the manufacturing sector. In Industry 4.0 and Made-in-China 2025, many applications require a combination of recently emerging new technologies, which is giving rise to the emergence of Industry 4.0. Such technologies originate from different disciplines including cyber-physical Systems, IoT, cloud computing, Industrial Integration, Enterprise Architecture, SOA, Business Process Management, Industrial Information Integration and others. At this present moment, the lack of powerful tools still poses a major obstacle for exploiting the full potential of Industry 4.0. In particular, formal methods and systems methods are crucial for realising Industry 4.0, which poses unique challenges. In this paper, we briefly survey the state of the art in the area of Industry 4.0 as it relates to industries.;"Industrie 4.0; Industry 4.0; Made-in-China 2025; cyber-physical systems; smart manufacturing; Internet of Things; cloud computing; industrial integration; enterprise architecture; service-oriented architecture; business process management; industrial information integration; formal methods";Mature;Buzz;4;0
3;2018;Industrial Internet of Things: Challenges, Opportunities, and Directions;Internet of Things (IoT) is an emerging domain that promises ubiquitous connection to the Internet, turning common objects into connected devices. The IoT paradigm is changing the way people interact with things around them. It paves the way for creating pervasively connected infrastructures to support innovative services and promises better flexibility and efficiency. Such advantages are attractive not only for consumer applications, but also for the industrial domain. Over the last few years, we have been witnessing the IoT paradigm making its way into the industry marketplace with purposely designed solutions. In this paper, we clarify the concepts of IoT, Industrial IoT, and Industry 4.0. We highlight the opportunities brought in by this paradigm shift as well as the challenges for its realization. In particular, we focus on the challenges associated with the need of energy efficiency, real-time performance, coexistence, interoperability, and security and privacy. We also provide a systematic overview of the state-of-the-art research efforts and potential research directions to solve Industrial IoT challenges.;"Industries; Reliability; Internet of Things; Informatics; Real-time systems; Production";Mature;Mature;4;1
4;2017;Intelligent Manufacturing in the Context of Industry 4.0: A Review;Our next generation of industry—Industry 4.0—holds the promise of increased flexibility in manufacturing, along with mass customization, better quality, and improved productivity. It thus enables companies to cope with the challenges of producing increasingly individualized products with a short lead-time to market and higher quality. Intelligent manufacturing plays an important role in Industry 4.0. Typical resources are converted into intelligent objects so that they are able to sense, act, and behave within a smart environment. In order to fully understand intelligent manufacturing in the context of Industry 4.0, this paper provides a comprehensive review of associated topics such as intelligent manufacturing, Internet of Things (IoT)-enabled manufacturing, and cloud manufacturing. Similarities and differences in these topics are highlighted based on our analysis. We also review key technologies such as the IoT, cyber-physical systems (CPSs), cloud computing, big data analytics (BDA), and information and communications technology (ICT) that are used to enable intelligent manufacturing. Next, we describe worldwide movements in intelligent manufacturing, including governmental strategic plans from different countries and strategic plans from major international companies in the European Union, United States, Japan, and China. Finally, we present current challenges and future research directions. The concepts discussed in this paper will spark new ideas in the effort to realize the much-anticipated Fourth Industrial Revolution.;"Intelligent manufacturing; Industry 4.0; Internet of Things; Manufacturing systems; Cloud manufacturing; Cyber-physical system";Mature;Mature;4;1
5;2019;Industry 4.0 technologies: Implementation patterns in manufacturing companies;Industry 4.0 has been considered a new industrial stage in which several emerging technologies are converging to provide digital solutions. However, there is a lack of understanding of how companies implement these technologies. Thus, we aim to understand the adoption patterns of Industry 4.0 technologies in manufacturing firms. We propose a conceptual framework for these technologies, which we divided into front-end and base technologies. Front-end technologies consider four dimensions: Smart Manufacturing, Smart Products, Smart Supply Chain and Smart Working, while base technologies consider four elements: internet of things, cloud services, big data and analytics. We performed a survey in 92 manufacturing companies to study the implementation of these technologies. Our findings show that Industry 4.0 is related to a systemic adoption of the front-end technologies, in which Smart Manufacturing plays a central role. Our results also show that the implementation of the base technologies is challenging companies, since big data and analytics are still low implemented in the sample studied. We propose a structure of Industry 4.0 technology layers and we show levels of adoption of these technologies and their implication for manufacturing companies.;"Industry 4.0; smart manufacturing; digital transformation; manufacturing companies";Mature;Mature;4;1
6;2018;Deep learning for smart manufacturing: Methods and applications;Smart manufacturing refers to using advanced data analytics to complement physical science for improving system performance and decision making. With the widespread deployment of sensors and Internet of Things, there is an increasing need of handling big manufacturing data characterized by high volume, high velocity, and high variety. Deep learning provides advanced analytics tools for processing and analysing big manufacturing data. This paper presents a comprehensive survey of commonly used deep learning algorithms and discusses their applications toward making manufacturing “smart”. The evolvement of deep learning technologies and their advantages over traditional machine learning are firstly discussed. Subsequently, computational methods based on deep learning are presented specially aim to improve system performance in manufacturing. Several representative deep learning models are comparably discussed. Finally, emerging topics of research on deep learning are highlighted, and future trends and challenges associated with deep learning for smart manufacturing are summarized.;"Data analytics; smart manufacturing; computational intelligence; deep learning†";Mature;Emerging;4;0
7;2017;Industry 4.0: A survey on technologies, applications and open research issues;Originally initiated in Germany, Industry 4.0, the fourth industrial revolution, has attracted much attention in recent literatures. It is closely related with the Internet of Things (IoT), Cyber Physical System (CPS), information and communications technology (ICT), Enterprise Architecture (EA), and Enterprise Integration (EI). Despite of the dynamic nature of the research on Industry 4.0, however, a systematic and extensive review of recent research on it is has been unavailable. Accordingly, this paper conducts a comprehensive review on Industry 4.0 and presents an overview of the content, scope, and findings of Industry 4.0 by examining the existing literatures in all of the databases within the Web of Science. Altogether, 88 papers related to Industry 4.0 are grouped into five research categories and reviewed. In addition, this paper outlines the critical issue of the interoperability of Industry 4.0, and proposes a conceptual framework of interoperability regarding Industry 4.0. Challenges and trends for future research on Industry 4.0 are discussed.;"Industry 4.0; Internet of Things (IoT); Cyber Physical System (CPS); information and communications technology (ICT); Enterprise Architecture (EA); Enterprise Integration (EI)";Mature;Buzz;4;0
8;2017;Past, present and future of Industry 4.0-a systematic literature review and research agenda proposal;Over the last few years, the fourth industrial revolution has attracted more and more attentions all around the world. In the current literature, there is still a lack of efforts to systematically review the state of the art of this new industrial revolution wave. The aim of this study is to address this gap by investigating the academic progresses in Industry 4.0. A systematic literature review was carried out to analyse the academic articles within the Industry 4.0 topic that were published online until the end of June 2016. In this paper, the obtained results from both the general data analysis of included papers (e.g. relevant journals, their subject areas and categories, conferences, keywords) and the specific data analysis corresponding to four research sub-questions are illustrated and discussed. These results not only summarise the current research activities (e.g. main research directions, applied standards, employed software and hardware), but also indicate existing deficiencies and potential research directions through proposing a research agenda. Findings of this review can be used as the basis for future research in Industry 4.0 and related topics.;"the fourth Industrial revolution; Industry 4.0; systematic literature review; qualitative research; quantitative research; research agenda; bibliometrics";Mature;Buzz;4;0
9;2020;Literature review of Industry 4.0 and related technologies;Manufacturing industry profoundly impact economic and societal progress. As being a commonly accepted term for research centers and universities, the Industry 4.0 initiative has received a splendid attention of the business and research community. Although the idea is not new and was on the agenda of academic research in many years with different perceptions, the term “Industry 4.0” is just launched and well accepted to some extend not only in academic life but also in the industrial society as well. While academic research focuses on understanding and defining the concept and trying to develop related systems, business models and respective methodologies, industry, on the other hand, focuses its attention on the change of industrial machine suits and intelligent products as well as potential customers on this progress. It is therefore important for the companies to primarily understand the features and content of the Industry 4.0 for potential transformation from machine dominant manufacturing to digital manufacturing. In order to achieve a successful transformation, they should clearly review their positions and respective potentials against basic requirements set forward for Industry 4.0 standard. This will allow them to generate a well-defined road map. There has been several approaches and discussions going on along this line, a several road maps are already proposed. Some of those are reviewed in this paper. However, the literature clearly indicates the lack of respective assessment methodologies. Since the implementation and applications of related theorems and definitions outlined for the 4th industrial revolution is not mature enough for most of the reel life implementations, a systematic approach for making respective assessments and evaluations seems to be urgently required for those who are intending to speed this transformation up. It is now main responsibility of the research community to developed technological infrastructure with physical systems, management models, business models as well as some well-defined Industry 4.0 scenarios in order to make the life for the practitioners easy. It is estimated by the experts that the Industry 4.0 and related progress along this line will have an enormous effect on social life. As outlined in the introduction, some social transformation is also expected. It is assumed that the robots will be more dominant in manufacturing, implanted technologies, cooperating and coordinating machines, self-decision-making systems, autonom problem solvers, learning machines, 3D printing etc. will dominate the production process. Wearable internet, big data analysis, sensor based life, smart city implementations or similar applications will be the main concern of the community. This social transformation will naturally trigger the manufacturing society to improve their manufacturing suits to cope with the customer requirements and sustain competitive advantage. A summary of the potential progress along this line is reviewed in introduction of the paper. It is so obvious that the future manufacturing systems will have a different vision composed of products, intelligence, communications and information network. This will bring about new business models to be dominant in industrial life. Another important issue to take into account is that the time span of this so-called revolution will be so short triggering a continues transformation process to yield some new industrial areas to emerge. This clearly puts a big pressure on manufacturers to learn, understand, design and implement the transformation process. Since the main motivation for finding the best way to follow this transformation, a comprehensive literature review will generate a remarkable support. This paper presents such a review for highlighting the progress and aims to help improve the awareness on the best experiences. It is intended to provide a clear idea for those wishing to generate a road map for digitizing the respective manufacturing suits. By presenting this review it is also intended to provide a hands-on library of Industry 4.0 to both academics as well as industrial practitioners. The top 100 headings, abstracts and key words (i.e. a total of 619 publications of any kind) for each search term were independently analyzed in order to ensure the reliability of the review process. Note that, this exhaustive literature review provides a concrete definition of Industry 4.0 and defines its six design principles such as interoperability, virtualization, local, real-time talent, service orientation and modularity. It seems that these principles have taken the attention of the scientists to carry out more variety of research on the subject and to develop implementable and appropriate scenarios. A comprehensive taxonomy of Industry 4.0 can also be developed through analyzing the results of this review.;"Industry 4.0; Smart factory; Internet of things (IoT); Cyber-physical systems; Cloud systems; Big data";Mature;Mature;4;1
10;2018;Data-driven smart manufacturing;The advances in the internet technology, internet of things, cloud computing, big data, and artificial intelligence have profoundly impacted manufacturing. The volume of data collected in manufacturing is growing. Big data offers a tremendous opportunity in the transformation of today’s manufacturing paradigm to smart manufacturing. Big data empowers companies to adopt data-driven strategies to become more competitive. In this paper, the role of big data in supporting smart manufacturing is discussed. A historical perspective to data lifecycle in manufacturing is overviewed. The big data perspective is supported by a conceptual framework proposed in the paper. Typical application scenarios of the proposed framework are outlined.;"Big data; Smart manufacturing; Manufacturing data; Data lifecycle";Mature;Mature;4;1
